Rank,Name,Team,Sort,K%,BB%,BB/K,BABIP,IsoP,IsoD,R/ePA,wOBA,wRC,RC27,Own%,wRC+
159,고명준,24 1B,68.1,24.6,6.8,0.28,0.31,0.135,0.053,0.095,0.308,34.4,3.53,9.7,68.1
160,오선진,24 3B,67.4,27.6,6.9,0.25,0.333,0.05,0.133,0.095,0.308,2.8,3.54,9.8,67.4
161,원성준,24 DH,67.3,28.8,8.0,0.28,0.342,0.098,0.056,0.087,0.3,10.9,3.3,8.6,67.3
162,안현민,24 LF,67.3,34.5,6.9,0.2,0.267,0.2,0.076,0.091,0.304,2.6,3.38,9.0,67.3
163,이병헌,24 C,66.8,28.9,10.2,0.35,0.365,0.049,0.087,0.094,0.307,15.6,3.79,11.0,66.8
164,조형우,24 C,66.6,15.8,2.6,0.17,0.296,0.0,0.1,0.094,0.307,3.6,3.85,11.4,66.6
165,이원석,24 DH,66.4,16.5,12.8,0.78,0.267,0.044,0.11,0.085,0.298,9.3,3.35,8.9,66.4
166,조수행,24 LF,65.5,13.9,8.6,0.62,0.312,0.028,0.069,0.085,0.298,32.3,3.24,8.3,65.5
167,김성윤,24 CF,65.0,18.0,10.1,0.56,0.3,0.054,0.083,0.088,0.3,7.8,3.34,8.8,65.0
168,김형준,24 C,64.9,34.8,10.9,0.31,0.261,0.178,0.09,0.086,0.299,35.6,3.16,7.9,64.9
169,정은원,24 LF,64.6,20.5,16.7,0.81,0.213,0.125,0.14,0.088,0.3,6.8,3.42,9.2,64.6
170,김병휘,24 SS,61.7,36.6,8.5,0.23,0.281,0.102,0.131,0.081,0.293,5.7,3.09,7.6,61.7
171,이원석,24 CF,61.5,20.8,10.4,0.5,0.304,0.045,0.089,0.082,0.295,12.7,3.12,7.8,61.5
172,박시원,24 CF,60.9,29.1,8.9,0.3,0.33,0.092,0.067,0.08,0.293,12.7,3.03,7.4,60.9
173,김동혁,24 CF,60.6,29.4,11.8,0.4,0.3,0.133,0.094,0.086,0.298,1.5,3.02,7.3,60.6
174,김성현,24 2B,60.3,16.8,9.6,0.57,0.274,0.057,0.094,0.085,0.297,14.2,3.13,7.8,60.3
175,김강민,24 CF,58.8,24.1,9.2,0.38,0.296,0.039,0.098,0.08,0.292,7.0,3.14,7.9,58.8
176,손성빈,24 C,58.7,22.2,7.6,0.34,0.218,0.185,0.074,0.082,0.294,14.1,2.96,7.1,58.7
177,양도근,24 2B,58.1,27.6,17.2,0.63,0.267,0.087,0.147,0.085,0.298,2.5,3.33,8.8,58.1
178,임병욱,24 CF,57.9,34.8,4.3,0.13,0.34,0.138,0.031,0.075,0.287,6.9,2.74,6.1,57.9
179,정준영,24 RF,57.8,21.6,10.8,0.5,0.304,0.032,0.098,0.079,0.291,5.8,3.03,7.4,57.8
180,변상권,24 LF,57.6,22.0,4.7,0.22,0.305,0.091,0.038,0.075,0.286,17.3,2.76,6.2,57.6
181,김민식,24 C,56.5,26.2,12.7,0.48,0.292,0.075,0.103,0.079,0.29,9.9,2.97,7.1,56.5
182,장재영,24 RF,55.7,46.0,12.2,0.27,0.314,0.126,0.12,0.072,0.283,10.0,2.68,5.8,55.7
183,전민재,24 SS,54.5,19.2,6.2,0.32,0.301,0.052,0.055,0.071,0.282,19.5,2.57,5.4,54.5
184,정현승,24 RF,53.9,19.4,6.5,0.33,0.273,0.104,0.049,0.076,0.288,2.4,2.9,6.8,53.9
185,김재현,24 C,52.1,19.3,4.3,0.22,0.306,0.038,0.054,0.067,0.278,21.8,2.44,4.9,52.1
186,조용호,24 RF,51.9,15.2,7.9,0.52,0.298,0.034,0.061,0.071,0.282,11.7,2.6,5.5,51.9
187,신범수,24 DH,51.8,17.2,3.4,0.2,0.273,0.111,0.054,0.074,0.286,2.2,2.77,6.2,51.8
188,최항,24 2B,51.3,22.4,7.0,0.31,0.33,0.038,0.058,0.073,0.284,10.4,2.72,6.0,51.3
189,김재상,24 2B,51.1,25.3,5.5,0.22,0.3,0.119,0.04,0.073,0.285,6.7,2.72,6.0,51.1
190,노진혁,24 SS,51.0,24.8,9.6,0.38,0.286,0.088,0.078,0.072,0.283,11.3,2.72,6.0,51.0
191,이진영,24 CF,50.9,26.2,7.8,0.3,0.277,0.097,0.078,0.067,0.278,6.9,2.39,4.7,50.9
192,유강남,24 C,50.3,16.1,5.8,0.36,0.196,0.133,0.084,0.071,0.282,11.0,2.54,5.3,50.3
193,한석현,24 RF,50.3,28.9,2.6,0.09,0.353,0.082,0.029,0.067,0.278,5.1,2.36,4.6,50.3
194,김인환,24 LF,48.1,22.4,7.0,0.31,0.306,0.038,0.064,0.066,0.277,9.4,2.42,4.8,48.1
195,김재성,24 C,47.7,21.7,13.0,0.6,0.267,0.05,0.104,0.066,0.277,1.5,2.41,4.8,47.7
196,이영빈,24 1B,45.5,28.2,5.6,0.2,0.279,0.127,0.039,0.059,0.27,4.2,2.11,3.7,45.5
197,최경모,24 2B,45.2,14.0,16.0,1.14,0.214,0.0,0.155,0.062,0.273,3.1,2.04,3.5,45.2
198,허도환,24 C,44.6,24.8,8.6,0.35,0.2,0.025,0.162,0.059,0.269,6.2,2.08,3.6,44.6
199,이재원,24 C,44.0,13.8,4.6,0.33,0.265,0.052,0.048,0.059,0.269,9.0,2.14,3.8,44.0
200,장승현,24 C,43.3,21.7,8.7,0.4,0.267,0.1,0.073,0.061,0.271,1.4,2.09,3.7,43.3
201,예진원,24 CF,42.8,38.1,9.5,0.25,0.364,0.052,0.075,0.056,0.266,1.2,1.97,3.3,42.8
202,최상민,24 RF,42.6,38.5,0.0,0.0,0.286,0.166,0.064,0.058,0.269,0.8,1.86,2.9,42.6
203,주성원,24 RF,42.4,29.0,9.7,0.33,0.278,0.073,0.079,0.054,0.264,3.3,1.91,3.1,42.4
204,김현준,24 RF,41.4,23.9,5.4,0.22,0.299,0.066,0.055,0.059,0.269,12.0,2.12,3.8,41.4
205,공민규,24 3B,39.5,52.9,5.9,0.11,0.0,0.215,0.164,0.056,0.266,0.9,1.83,2.8,39.5
206,서예일,24 3B,38.9,25.0,10.0,0.4,0.308,0.0,0.078,0.05,0.26,1.0,1.94,3.1,38.9
207,김민석,24 LF,38.9,24.1,2.4,0.1,0.286,0.065,0.057,0.054,0.264,4.5,1.83,2.8,38.9
208,권동진,24 2B,37.9,20.0,10.0,0.5,0.286,0.0,0.078,0.05,0.26,0.5,1.94,3.1,37.9
209,한동희,24 DH,37.4,25.0,2.8,0.11,0.346,0.057,0.021,0.052,0.262,1.9,1.88,3.0,37.4
210,김수윤,24 1B,37.3,40.0,10.0,0.25,0.4,0.0,0.078,0.05,0.26,0.5,1.94,3.1,37.3
211,김주형,24 SS,37.3,36.0,4.0,0.11,0.273,0.0,0.142,0.05,0.26,1.3,1.78,2.7,37.3
212,오선우,24 RF,36.1,42.9,0.0,0.0,0.5,0.0,0.0,0.049,0.259,0.3,1.87,2.9,36.1
213,임종찬,24 CF,35.5,29.7,9.4,0.32,0.237,0.123,0.092,0.048,0.258,3.1,1.63,2.3,35.5
214,유로결,24 RF,34.4,28.2,7.7,0.27,0.32,0.028,0.06,0.047,0.256,1.8,1.5,1.9,34.4
215,김현종,24 CF,31.9,25.0,0.0,0.0,0.273,0.067,0.05,0.042,0.251,0.7,1.51,1.9,31.9
216,안치영,24 CF,30.8,25.0,4.2,0.17,0.344,0.0,0.033,0.042,0.251,2.0,1.51,1.9,30.8
